Наименование;Сссылка;Цена;Состав;Наличие на складе;Описание пряжи;Изображение пряжи
Пряжа Puffy Alize - (111 - Сливовый);https://klubki-v-korzinke.ru//product/prjazha-puffy-alize-111-slivovii/;156₽/ шт;100 г / 9,2 мСостав:100% микрополиэстерна складе:30 шт.;Наличие:на складе;156₽/ шт100 г / 9,2 мСостав:100% микрополиэстерна складе:30 шт.100 г, 9.2 м100% микрополиэстерНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/10/64/16410/images/30301/30301.200.jpg
Пряжа LANAGOLD Alize - (173 - Вялая роза);https://klubki-v-korzinke.ru//product/prjazha-lanagold-alize-173-vialaia-roza/;171₽/ шт;100 г / 240 мСостав:49% шерсть 51% акрилна складе:20 шт.;Наличие:на складе;171₽/ шт100 г / 240 мСостав:49% шерсть 51% акрилна складе:20 шт.100 г / 240 м49% шерсть, 51% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/09/64/16409/images/30299/30299.200.jpg
Пряжа Lanagold Fine Alize - (173 - Вялая роза);https://klubki-v-korzinke.ru//product/prjazha-lanagold-fine-alize-173-vialaia-roza/;171₽/ шт;100 г / 390 мСостав:49% шерсть 51% акрилна складе:20 шт.;Наличие:на складе;171₽/ шт100 г / 390 мСостав:49% шерсть 51% акрилна складе:20 шт.100 г / 390 м49% шерсть, 51% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/08/64/16408/images/30296/30296.200.jpg
Пряжа Baby Best Alize - (446 - Пепельная пудра);https://klubki-v-korzinke.ru//product/prjazha-baby-best-alize-446-pepelnaia-pudra/;133₽/ шт;100 г / 240 мСостав:90% акрил 10% бамбукна складе:20 шт.;Наличие:на складе;133₽/ шт100 г / 240 мСостав:90% акрил 10% бамбукна складе:20 шт.100 г / 240 м, 90% антипиллинговый акрил, 10% бамбукНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/07/64/16407/images/30294/30294.200.jpg
Пряжа Baby Best Alize - (354 - Тёмная пудра);https://klubki-v-korzinke.ru//product/prjazha-baby-best-alize-354-temnaia-pudra/;133₽/ шт;100 г / 240 мСостав:90% акрил 10% бамбукна складе:20 шт.;Наличие:на складе;133₽/ шт100 г / 240 мСостав:90% акрил 10% бамбукна складе:20 шт.100 г / 240 м, 90% антипиллинговый акрил, 10% бамбукНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/06/64/16406/images/30292/30292.200.jpg
Пряжа Baby Best Alize - (534 - Капучино);https://klubki-v-korzinke.ru//product/prjazha-baby-best-alize-534-kapucino/;133₽/ шт;100 г / 240 мСостав:90% акрил 10% бамбукна складе:20 шт.;Наличие:на складе;133₽/ шт100 г / 240 мСостав:90% акрил 10% бамбукна складе:20 шт.100 г / 240 м, 90% антипиллинговый акрил, 10% бамбукНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/05/64/16405/images/30290/30290.200.jpg
"Пряжа VITA cotton ""COCO"" - (4336 - Терракот)";https://klubki-v-korzinke.ru//product/prjazha-vita-cotton-coco-4336-terrakot/;85₽/ шт;50 г / 240 мСостав:100% мерсеризованный хлопокна складе:39 шт.;Наличие:на складе;85₽/ шт50 г / 240 мСостав:100% мерсеризованный хлопокна складе:39 шт.50 г / 240 м100% мерсеризованный хлопокНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/04/64/16404/images/30286/30286.200.jpg
"Пряжа VITA cotton ""COCO"" - (4334 - Тёмно - лиловый)";https://klubki-v-korzinke.ru//product/prjazha-vita-cotton-coco-4334-temno-lilovii/;85₽/ шт;50 г / 240 мСостав:100% мерсеризованный хлопокна складе:39 шт.;Наличие:на складе;85₽/ шт50 г / 240 мСостав:100% мерсеризованный хлопокна складе:39 шт.50 г / 240 м100% мерсеризованный хлопокНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/03/64/16403/images/30284/30284.200.jpg
"Пряжа VITA cotton ""COCO"" - (4335 - Горчица)";https://klubki-v-korzinke.ru//product/prjazha-vita-cotton-coco-4335-gorciza/;85₽/ шт;50 г / 240 мСостав:100% мерсеризованный хлопокна складе:39 шт.;Наличие:на складе;85₽/ шт50 г / 240 мСостав:100% мерсеризованный хлопокна складе:39 шт.50 г / 240 м100% мерсеризованный хлопокНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/02/64/16402/images/30282/30282.200.jpg
Пряжа Paillettes - (161 - Старая платина);https://klubki-v-korzinke.ru//product/prjazha-paillettes-161-staraia-platina/;120₽/ шт;50 г / 360 мСостав:100% полиамид, пайеткина складе:10 шт.;Наличие:на складе;120₽/ шт50 г / 360 мСостав:100% полиамид, пайеткина складе:10 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/01/64/16401/images/30280/30280.200.jpg
